Date,Investment,Adj Close,Units Purchased
2017-08-06,0.0,32273.669921875,0.0
2017-08-07,0.0,32273.669921875,0.0
2017-08-08,0.0,32014.189453125,0.0
2017-08-09,0.0,31797.83984375,0.0
2017-08-10,0.0,31531.330078125,0.0
2017-08-11,0.0,31213.58984375,0.0
2017-08-12,0.0,31449.029296875,0.0
2017-08-13,0.0,31449.029296875,0.0
2017-08-14,0.0,31449.029296875,0.0
2017-08-15,0.0,31770.890625,0.0
2017-08-16,0.0,31770.890625,0.0
2017-08-17,0.0,31795.4609375,0.0
2017-08-18,0.0,31524.6796875,0.0
2017-08-19,0.0,31258.849609375,0.0
2017-08-20,0.0,31258.849609375,0.0
2017-08-21,0.0,31258.849609375,0.0
2017-08-22,0.0,31291.849609375,0.0
2017-08-23,0.0,31568.009765625,0.0
2017-08-24,0.0,31596.060546875,0.0
2017-08-25,0.0,31750.8203125,0.0
2017-08-26,0.0,31750.8203125,0.0
2017-08-27,0.0,31750.8203125,0.0
2017-08-28,0.0,31750.8203125,0.0
2017-08-29,0.0,31388.390625,0.0
2017-08-30,0.0,31646.4609375,0.0
2017-08-31,0.0,31730.490234375,0.0
2017-09-01,0.0,31892.23046875,0.0
2017-09-02,0.0,31702.25,0.0
2017-09-03,0.0,31702.25,0.0
2017-09-04,30000.0,31702.25,0.9463050729837788
2017-09-05,0.0,31809.55078125,0.0
2017-09-06,0.0,31661.970703125,0.0
2017-09-07,0.0,31662.740234375,0.0
2017-09-08,0.0,31687.51953125,0.0
2017-09-09,0.0,31882.16015625,0.0
2017-09-10,0.0,31882.16015625,0.0
2017-09-11,0.0,31882.16015625,0.0
2017-09-12,0.0,32158.66015625,0.0
2017-09-13,0.0,32186.41015625,0.0
2017-09-14,0.0,32241.9296875,0.0
2017-09-15,0.0,32272.609375,0.0
2017-09-16,0.0,32423.759765625,0.0
2017-09-17,0.0,32423.759765625,0.0
2017-09-18,0.0,32423.759765625,0.0
2017-09-19,0.0,32402.369140625,0.0
2017-09-20,0.0,32400.509765625,0.0
2017-09-21,0.0,32370.0390625,0.0
2017-09-22,0.0,31922.439453125,0.0
2017-09-23,0.0,31626.630859375,0.0
2017-09-24,0.0,31626.630859375,0.0
2017-09-25,0.0,31626.630859375,0.0
2017-09-26,0.0,31599.759765625,0.0
2017-09-27,0.0,31159.810546875,0.0
2017-09-28,0.0,31282.48046875,0.0
2017-09-29,0.0,31283.720703125,0.0
2017-09-30,0.0,31497.380859375,0.0
2017-10-01,0.0,31497.380859375,0.0
2017-10-02,0.0,31497.380859375,0.0
2017-10-03,0.0,31497.380859375,0.0
2017-10-04,30000.0,31671.7109375,0.947217536153986
2017-10-05,0.0,31592.029296875,0.0
2017-10-06,0.0,31814.220703125,0.0
2017-10-07,0.0,31846.890625,0.0
2017-10-08,0.0,31846.890625,0.0
2017-10-09,0.0,31846.890625,0.0
2017-10-10,0.0,31924.41015625,0.0
2017-10-11,0.0,31833.990234375,0.0
2017-10-12,0.0,32182.220703125,0.0
2017-10-13,0.0,32432.689453125,0.0
2017-10-14,0.0,32633.640625,0.0
2017-10-15,0.0,32633.640625,0.0
2017-10-16,0.0,32633.640625,0.0
2017-10-17,0.0,32609.16015625,0.0
2017-10-18,0.0,32584.349609375,0.0
2017-10-19,0.0,32389.9609375,0.0
2017-10-20,0.0,32506.720703125,0.0
2017-10-21,0.0,32506.720703125,0.0
2017-10-22,0.0,32506.720703125,0.0
2017-10-23,0.0,32506.720703125,0.0
2017-10-24,0.0,32607.33984375,0.0
2017-10-25,0.0,33042.5,0.0
2017-10-26,0.0,33147.12890625,0.0
2017-10-27,0.0,33157.21875,0.0
2017-10-28,0.0,33266.16015625,0.0
2017-10-29,0.0,33266.16015625,0.0
2017-10-30,0.0,33266.16015625,0.0
2017-10-31,0.0,33213.12890625,0.0
2017-11-01,0.0,33600.26953125,0.0
2017-11-02,0.0,33573.21875,0.0
2017-11-03,0.0,33685.55859375,0.0
2017-11-04,0.0,33731.19140625,0.0
2017-11-05,0.0,33731.19140625,0.0
2017-11-06,30000.0,33731.19140625,0.8893845354789736
2017-11-07,0.0,33370.76171875,0.0
2017-11-08,0.0,33218.80859375,0.0
2017-11-09,0.0,33250.9296875,0.0
2017-11-10,0.0,33314.55859375,0.0
2017-11-11,0.0,33033.55859375,0.0
2017-11-12,0.0,33033.55859375,0.0
2017-11-13,0.0,33033.55859375,0.0
2017-11-14,0.0,32941.87109375,0.0
2017-11-15,0.0,32760.439453125,0.0
2017-11-16,0.0,33106.8203125,0.0
2017-11-17,0.0,33342.80078125,0.0
2017-11-18,0.0,33359.8984375,0.0
2017-11-19,0.0,33359.8984375,0.0
2017-11-20,0.0,33359.8984375,0.0
2017-11-21,0.0,33478.3515625,0.0
2017-11-22,0.0,33561.55078125,0.0
2017-11-23,0.0,33588.078125,0.0
2017-11-24,0.0,33679.23828125,0.0
2017-11-25,0.0,33724.44140625,0.0
2017-11-26,0.0,33724.44140625,0.0
2017-11-27,0.0,33724.44140625,0.0
2017-11-28,0.0,33618.58984375,0.0
2017-11-29,0.0,33602.76171875,0.0
2017-11-30,0.0,33149.3515625,0.0
2017-12-01,0.0,32832.94140625,0.0
2017-12-02,0.0,32869.71875,0.0
2017-12-03,0.0,32869.71875,0.0
2017-12-04,30000.0,32869.71875,0.9126941495354292
2017-12-05,0.0,32802.44140625,0.0
2017-12-06,0.0,32597.1796875,0.0
2017-12-07,0.0,32949.2109375,0.0
2017-12-08,0.0,33250.30078125,0.0
2017-12-09,0.0,33455.7890625,0.0
2017-12-10,0.0,33455.7890625,0.0
2017-12-11,0.0,33455.7890625,0.0
2017-12-12,0.0,33227.98828125,0.0
2017-12-13,0.0,33053.0390625,0.0
2017-12-14,0.0,33246.69921875,0.0
2017-12-15,0.0,33462.96875,0.0
2017-12-16,0.0,33601.6796875,0.0
2017-12-17,0.0,33601.6796875,0.0
2017-12-18,0.0,33601.6796875,0.0
2017-12-19,0.0,33836.73828125,0.0
2017-12-20,0.0,33777.37890625,0.0
2017-12-21,0.0,33756.28125,0.0
2017-12-22,0.0,33940.30078125,0.0
2017-12-23,0.0,34010.609375,0.0
2017-12-24,0.0,34010.609375,0.0
2017-12-25,0.0,34010.609375,0.0
2017-12-26,0.0,34010.609375,0.0
2017-12-27,0.0,33911.80859375,0.0
2017-12-28,0.0,33848.03125,0.0
2017-12-29,0.0,34056.828125,0.0
2017-12-30,0.0,33812.75,0.0
2017-12-31,0.0,33812.75,0.0
2018-01-01,0.0,33812.75,0.0
2018-01-02,0.0,33812.26171875,0.0
2018-01-03,0.0,33793.37890625,0.0
2018-01-04,30000.0,33969.640625,0.8831415183686536
2018-01-05,0.0,34153.8515625,0.0
2018-01-06,0.0,34352.7890625,0.0
2018-01-07,0.0,34352.7890625,0.0
2018-01-08,0.0,34352.7890625,0.0
2018-01-09,0.0,34443.19140625,0.0
2018-01-10,0.0,34433.0703125,0.0
2018-01-11,0.0,34503.48828125,0.0
2018-01-12,0.0,34592.390625,0.0
2018-01-13,0.0,34843.51171875,0.0
2018-01-14,0.0,34843.51171875,0.0
2018-01-15,0.0,34843.51171875,0.0
2018-01-16,0.0,34771.05078125,0.0
2018-01-17,0.0,35081.8203125,0.0
2018-01-18,0.0,35260.2890625,0.0
2018-01-19,0.0,35511.578125,0.0
2018-01-20,0.0,35798.01171875,0.0
2018-01-21,0.0,35798.01171875,0.0
2018-01-22,0.0,35798.01171875,0.0
2018-01-23,0.0,36139.98046875,0.0
2018-01-24,0.0,36161.640625,0.0
2018-01-25,0.0,36050.44140625,0.0
2018-01-26,0.0,36283.25,0.0
2018-01-27,0.0,36283.25,0.0
2018-01-28,0.0,36283.25,0.0
2018-01-29,0.0,36283.25,0.0
2018-01-30,0.0,36033.73046875,0.0
2018-01-31,0.0,35965.01953125,0.0
2018-02-01,0.0,35906.66015625,0.0
2018-02-02,0.0,35066.75,0.0
2018-02-03,0.0,34757.16015625,0.0
2018-02-04,0.0,34757.16015625,0.0
2018-02-05,30000.0,34757.16015625,0.863131506289228
2018-02-06,0.0,34195.94140625,0.0
2018-02-07,0.0,34082.7109375,0.0
2018-02-08,0.0,34413.16015625,0.0
2018-02-09,0.0,34005.76171875,0.0
2018-02-10,0.0,34300.46875,0.0
2018-02-11,0.0,34300.46875,0.0
2018-02-12,0.0,34300.46875,0.0
2018-02-13,0.0,34155.94921875,0.0
2018-02-14,0.0,34155.94921875,0.0
2018-02-15,0.0,34297.46875,0.0
2018-02-16,0.0,34010.76171875,0.0
2018-02-17,0.0,33774.66015625,0.0
2018-02-18,0.0,33774.66015625,0.0
2018-02-19,0.0,33774.66015625,0.0
2018-02-20,0.0,33703.58984375,0.0
2018-02-21,0.0,33844.859375,0.0
2018-02-22,0.0,33819.5,0.0
2018-02-23,0.0,34142.1484375,0.0
2018-02-24,0.0,34445.75,0.0
2018-02-25,0.0,34445.75,0.0
2018-02-26,0.0,34445.75,0.0
2018-02-27,0.0,34346.390625,0.0
2018-02-28,0.0,34184.0390625,0.0
2018-03-01,0.0,34046.94140625,0.0
2018-03-02,0.0,33746.78125,0.0
2018-03-03,0.0,33746.78125,0.0
2018-03-04,0.0,33746.78125,0.0
2018-03-05,30000.0,33746.78125,0.8889736706371071
2018-03-06,0.0,33317.19921875,0.0
2018-03-07,0.0,33033.08984375,0.0
2018-03-08,0.0,33351.5703125,0.0
2018-03-09,0.0,33307.140625,0.0
2018-03-10,0.0,33917.94140625,0.0
2018-03-11,0.0,33917.94140625,0.0
2018-03-12,0.0,33917.94140625,0.0
2018-03-13,0.0,33856.78125,0.0
2018-03-14,0.0,33835.73828125,0.0
2018-03-15,0.0,33685.5390625,0.0
2018-03-16,0.0,33176.0,0.0
2018-03-17,0.0,32923.12109375,0.0
2018-03-18,0.0,32923.12109375,0.0
2018-03-19,0.0,32923.12109375,0.0
2018-03-20,0.0,32996.76171875,0.0
2018-03-21,0.0,33136.1796875,0.0
2018-03-22,0.0,33006.26953125,0.0
2018-03-23,0.0,32596.5390625,0.0
2018-03-24,0.0,33066.41015625,0.0
2018-03-25,0.0,33066.41015625,0.0
2018-03-26,0.0,33066.41015625,0.0
2018-03-27,0.0,33174.390625,0.0
2018-03-28,0.0,32968.6796875,0.0
2018-03-29,0.0,33255.359375,0.0
2018-03-30,0.0,33255.359375,0.0
2018-03-31,0.0,33255.359375,0.0
2018-04-01,0.0,33255.359375,0.0
2018-04-02,0.0,33255.359375,0.0
2018-04-03,0.0,33370.62890625,0.0
2018-04-04,30000.0,33019.0703125,0.9085658595494412
2018-04-05,0.0,33596.80078125,0.0
2018-04-06,0.0,33626.96875,0.0
2018-04-07,0.0,33788.5390625,0.0
2018-04-08,0.0,33788.5390625,0.0
2018-04-09,0.0,33788.5390625,0.0
2018-04-10,0.0,33880.25,0.0
2018-04-11,0.0,33940.44140625,0.0
2018-04-12,0.0,34101.12890625,0.0
2018-04-13,0.0,34192.6484375,0.0
2018-04-14,0.0,34305.4296875,0.0
2018-04-15,0.0,34305.4296875,0.0
2018-04-16,0.0,34305.4296875,0.0
2018-04-17,0.0,34395.05859375,0.0
2018-04-18,0.0,34331.6796875,0.0
2018-04-19,0.0,34427.2890625,0.0
2018-04-20,0.0,34415.578125,0.0
2018-04-21,0.0,34450.76953125,0.0
2018-04-22,0.0,34450.76953125,0.0
2018-04-23,0.0,34450.76953125,0.0
2018-04-24,0.0,34616.640625,0.0
2018-04-25,0.0,34501.26953125,0.0
2018-04-26,0.0,34713.6015625,0.0
2018-04-27,0.0,34969.69921875,0.0
2018-04-28,0.0,35160.359375,0.0
2018-04-29,0.0,35160.359375,0.0
2018-04-30,0.0,35160.359375,0.0
2018-05-01,0.0,35176.421875,0.0
2018-05-02,0.0,35176.421875,0.0
2018-05-03,0.0,35103.140625,0.0
2018-05-04,30000.0,34915.37890625,0.8592202330254498
2018-05-05,0.0,35208.140625,0.0
2018-05-06,0.0,35208.140625,0.0
2018-05-07,0.0,35208.140625,0.0
2018-05-08,0.0,35216.3203125,0.0
2018-05-09,0.0,35319.3515625,0.0
2018-05-10,0.0,35246.26953125,0.0
2018-05-11,0.0,35535.7890625,0.0
2018-05-12,0.0,35556.7109375,0.0
2018-05-13,0.0,35556.7109375,0.0
2018-05-14,0.0,35556.7109375,0.0
2018-05-15,0.0,35543.94140625,0.0
2018-05-16,0.0,35387.87890625,0.0
2018-05-17,0.0,35149.12109375,0.0
2018-05-18,0.0,34848.30078125,0.0
2018-05-19,0.0,34616.12890625,0.0
2018-05-20,0.0,34616.12890625,0.0
2018-05-21,0.0,34616.12890625,0.0
2018-05-22,0.0,34651.23828125,0.0
2018-05-23,0.0,34344.91015625,0.0
2018-05-24,0.0,34663.109375,0.0
2018-05-25,0.0,34924.87109375,0.0
2018-05-26,0.0,35165.48046875,0.0
2018-05-27,0.0,35165.48046875,0.0
2018-05-28,0.0,35165.48046875,0.0
2018-05-29,0.0,34949.23828125,0.0
2018-05-30,0.0,34906.109375,0.0
2018-05-31,0.0,35322.37890625,0.0
2018-06-01,0.0,35227.26171875,0.0
2018-06-02,0.0,35011.890625,0.0
2018-06-03,0.0,35011.890625,0.0
2018-06-04,30000.0,35011.890625,0.8568517570593205
2018-06-05,0.0,34903.2109375,0.0
2018-06-06,0.0,35178.87890625,0.0
2018-06-07,0.0,35463.078125,0.0
2018-06-08,0.0,35443.671875,0.0
2018-06-09,0.0,35483.46875,0.0
2018-06-10,0.0,35483.46875,0.0
2018-06-11,0.0,35483.46875,0.0
2018-06-12,0.0,35692.51953125,0.0
2018-06-13,0.0,35739.16015625,0.0
2018-06-14,0.0,35599.8203125,0.0
2018-06-15,0.0,35622.140625,0.0
2018-06-16,0.0,35548.26171875,0.0
2018-06-17,0.0,35548.26171875,0.0
2018-06-18,0.0,35548.26171875,0.0
2018-06-19,0.0,35286.73828125,0.0
2018-06-20,0.0,35547.328125,0.0
2018-06-21,0.0,35432.390625,0.0
2018-06-22,0.0,35689.6015625,0.0
2018-06-23,0.0,35470.3515625,0.0
2018-06-24,0.0,35470.3515625,0.0
2018-06-25,0.0,35470.3515625,0.0
2018-06-26,0.0,35490.0390625,0.0
2018-06-27,0.0,35217.109375,0.0
2018-06-28,0.0,35037.640625,0.0
2018-06-29,0.0,35423.48046875,0.0
2018-06-30,0.0,35264.41015625,0.0
2018-07-01,0.0,35264.41015625,0.0
2018-07-02,0.0,35264.41015625,0.0
2018-07-03,0.0,35378.6015625,0.0
2018-07-04,30000.0,35645.3984375,0.8416233599577084
2018-07-05,0.0,35574.55078125,0.0
2018-07-06,0.0,35657.859375,0.0
2018-07-07,0.0,35934.71875,0.0
2018-07-08,0.0,35934.71875,0.0
2018-07-09,0.0,35934.71875,0.0
2018-07-10,0.0,36239.62109375,0.0
2018-07-11,0.0,36265.9296875,0.0
2018-07-12,0.0,36548.41015625,0.0
2018-07-13,0.0,36541.62890625,0.0
2018-07-14,0.0,36323.76953125,0.0
2018-07-15,0.0,36323.76953125,0.0
2018-07-16,0.0,36323.76953125,0.0
2018-07-17,0.0,36519.9609375,0.0
2018-07-18,0.0,36373.44140625,0.0
2018-07-19,0.0,36351.23046875,0.0
2018-07-20,0.0,36496.37109375,0.0
2018-07-21,0.0,36718.6015625,0.0
2018-07-22,0.0,36718.6015625,0.0
2018-07-23,0.0,36718.6015625,0.0
2018-07-24,0.0,36825.1015625,0.0
2018-07-25,0.0,36858.23046875,0.0
2018-07-26,0.0,36984.640625,0.0
